"Socio-Economic Objective Sector","Socio-Economic Objective Division","Socio-Economic Objective Group","Socio-Economic Objective Objective Name","Socio-Economic Objective Objective Code"
"Economic Development","Energy","Energy Transformation","Solid Oxide Fuel Cells","850404"
"Economic Development","Energy","Energy Transformation","Transformation of Black Coal into Electricity","850405"
"Economic Development","Energy","Energy Transformation","Transformation of Brown Coal (Lignite) into Electricity","850406"
"Economic Development","Energy","Energy Transformation","Transformation of Coal into Gaseous Fuels","850407"
"Economic Development","Energy","Energy Transformation","Transformation of Coal into Liquid Fuels","850408"
"Economic Development","Energy","Energy Transformation","Transformation of Gas into Electricity","850409"
"Economic Development","Energy","Energy Transformation","Transformation of Gas into Liquid Fuels","850410"
"Economic Development","Energy","Energy Transformation","Energy Transformation not elsewhere classified","850499"
"Economic Development","Energy","Renewable Energy","Biofuel (Biomass) Energy","850501"
"Economic Development","Energy","Renewable Energy","Geothermal Energy","850502"
"Economic Development","Energy","Renewable Energy","Hydro-Electric Energy","850503"
"Economic Development","Energy","Renewable Energy","Solar-Photovoltaic Energy","850504"
"Economic Development","Energy","Renewable Energy","Solar-Thermal Electric Energy","850505"
"Economic Development","Energy","Renewable Energy","Solar-Thermal Energy","850506"
"Economic Development","Energy","Renewable Energy","Tidal Energy","850507"
"Economic Development","Energy","Renewable Energy","Wave Energy","850508"
"Economic Development","Energy","Renewable Energy","Wind Energy","850509"
"Economic Development","Energy","Renewable Energy","Renewable Energy not elsewhere classified","850599"
"Economic Development","Energy","Energy Storage, Distribution and Supply","Energy Services and Utilities","850601"
"Economic Development","Energy","Energy Storage, Distribution and Supply","Energy Storage (excl. Hydrogen)","850602"
"Economic Development","Energy","Energy Storage, Distribution and Supply","Energy Systems Analysis","850603"
"Economic Development","Energy","Energy Storage, Distribution and Supply","Energy Transmission and Distribution (excl. Hydrogen)","850604"
"Economic Development","Energy","Energy Storage, Distribution and Supply","Hydrogen Distribution","850605"
"Economic Development","Energy","Energy Storage, Distribution and Supply","Hydrogen Storage","850606"
"Economic Development","Energy","Energy Storage, Distribution and Supply","Energy Storage, Distribution and Supply not elsewhere classified","850699"
"Economic Development","Energy","Energy Conservation and Efficiency","Commercial Energy Conservation and Efficiency","850701"
"Economic Development","Energy","Energy Conservation and Efficiency","Energy Conservation and Efficiency in Transport","850702"
"Economic Development","Energy","Energy Conservation and Efficiency","Industrial Energy Conservation and Efficiency","850703"
"Economic Development","Energy","Energy Conservation and Efficiency","Residential Energy Conservation and Efficiency","850704"
"Economic Development","Energy","Energy Conservation and Efficiency","Energy Conservation and Efficiency not elsewhere classified","850799"
"Economic Development","Energy","Environmentally Sustainable Energy Activities","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)","859801"
"Economic Development","Energy","Environmentally Sustainable Energy Activities","Management of Greenhouse Gas Emissions from Electricity Generation","859802"
"Economic Development","Energy","Environmentally Sustainable Energy Activities","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)","859803"
"Economic Development","Energy","Environmentally Sustainable Energy Activities","Management of Liquid Waste from Energy Activities (excl. Water)","859804"
"Economic Development","Energy","Environmentally Sustainable Energy Activities","Management of Solid Waste from Energy Activities","859805"
"Economic Development","Energy","Environmentally Sustainable Energy Activities","Management of Water Consumption by Energy Activities","859806"
"Economic Development","Energy","Environmentally Sustainable Energy Activities","Environmentally Sustainable Energy Activities not elsewhere classified","859899"
"Economic Development","Energy","Other Energy","Energy not elsewhere classified","859999"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Bakery Products","860101"
